2022-12-19 19:16:27.054 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-12-19 19:16:27.092 [main] INFO  c.kasuoda.bullyingsystem.BullyingsystemApplication - Starting BullyingsystemApplication using Java 1.8.0_212 on DESKTOP-AMGN17N with PID 19944 (D:\bullyingsystem\target\classes started by admin in D:\bullyingsystem)
2022-12-19 19:16:27.093 [main] INFO  c.kasuoda.bullyingsystem.BullyingsystemApplication - No active profile set, falling back to default profiles: default
2022-12-19 19:16:31.167 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-12-19 19:16:31.208 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 JPA repository interfaces.
2022-12-19 19:16:32.461 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8181 (http)
2022-12-19 19:16:32.481 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8181"]
2022-12-19 19:16:32.483 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-12-19 19:16:32.483 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-12-19 19:16:32.765 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-12-19 19:16:32.766 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5477 ms
2022-12-19 19:16:32.937 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-12-19 19:16:33.392 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-12-19 19:16:38.724 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-12-19 19:16:38.918 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2022-12-19 19:16:39.187 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-12-19 19:16:39.400 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2022-12-19 19:16:41.238 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-12-19 19:16:41.262 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
